species,lifehistory
Agalinis_aff_itambensis,perennial
Agalinis_aff_nana,perennial
Agalinis_albida,annual
Agalinis_angustifolia,perennial
Agalinis_aphylla,annual
Agalinis_auriculata,annual
Agalinis_bandeirensis,annual
Agalinis_bangii,perennial
Agalinis_brachyphylla,perennial
Agalinis_brevifolia,perennial
Agalinis_calycina,annual
Agalinis_communis,annual
Agalinis_decemloba,annual
Agalinis_divaricata,annual
Agalinis_edwardsiana,annual
Agalinis_fasciculata,annual
Agalinis_fiebrigii,perennial
Agalinis_filicaulis,annual
Agalinis_flexicaulis,annual
Agalinis_gattingeri,annual
Agalinis_genistifolia,perennial
Agalinis_gypsophila,perennial
Agalinis_harperi,annual
Agalinis_heterophylla,annual
Agalinis_homalantha,annual
Agalinis_kingsii,annual
Agalinis_lanceolata,perennial
Agalinis_laxa,annual
Agalinis_linifolia,perennial
Agalinis_maritima,annual
Agalinis_megalantha,perennial
Agalinis_navasotensis,annual
Agalinis_obtusifolia,annual
Agalinis_oligophylla,annual
Agalinis_peduncularis,annual
Agalinis_pennellii,perennial
Agalinis_plukenetii,annual
Agalinis_pulchella,annual
Agalinis_purpurea,annual
Agalinis_ramosissima,perennial
Agalinis_reflexidens,perennial
Agalinis_scarlatina,perennial
Agalinis_setacea,annual
Agalinis_skinneriana,annual
Agalinis_stenantha,perennial
Agalinis_strictifolia,annual
Agalinis_tenella,annual
Agalinis_tenuifolia,annual
Agalinis_viridis,annual
Esterhazya_caesarea,perennial
Esterhazya_eitenomum,perennial
Esterhazya_nanuzae,perennial
Esterhazya_splendida,perennial
